model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,maker
Hyundai Avante 1.6A S,110800,13640,3/25/2021,2021,25000,742,Auto,37082,18708,41996,5000,1598,91,1280,Mid-Sized Sedan,AVAIL,HYUNDAI
Toyota Corolla Altis 1.6A (COE till 04/2024),15888,15300,7/6/2009,2009,175347,1039,Auto,2711,17500,13088,17500,1598,80,1195,Mid-Sized Sedan,AVAIL,TOYOTA
Kia Cerato Forte Koup 1.6M SX Sunroof (COE till 02/2025),20021,11716,3/19/2010,2010,148888,1033,Manual,5511,14154,16519,14154,1591,93,1207,Sports Car,SOLD,KIA
BMW 2 Series 216i Gran Tourer Luxury,103888,16510,6/11/2018,2018,71500,684,Auto,46988,32596,36426,37635,1499,75,1480,MPV,AVAIL,BMW
Porsche Panamera 4 3.6A PDK (COE till 04/2029),148000,24500,8/25/2010,2010,90470,4332,Auto,21382,116924,35411,116924,3605,300,1820,Sports Car,AVAIL,PORSCHE
Nissan NV200 1.5M,49800,9110,10/4/2018,2018,74373,357,Manual,14758,20942,27001,1048,1461,78,1260,Van,AVAIL,NISSAN
Porsche Macan 2.0A PDK,224919,31708,5/12/2016,2016,63756,1194,Auto,87215,63520,38610,86336,1984,185,1845,SUV,SOLD,PORSCHE
Toyota Corolla Altis 1.6A Eco,68946,13991,10/30/2017,2017,71408,742,Auto,28859,19990,41761,14990,1598,96,1230,Mid-Sized Sedan,AVAIL,TOYOTA
Honda Jazz 1.3A GLI (COE till 04/2029),70080,11282,6/12/2009,2008,65985,826,Auto,21620,13022,26175,13022,1339,73,1110,Hatchback,SOLD,HONDA
BMW 3 Series 318i,118800,18140,10/17/2018,2018,37647,684,Auto,45652,32789,31307,37905,1499,100,1425,Luxury Sedan,AVAIL,BMW
