model,price,depreciation,registration_date,reg_age,manufactured_year,manufactured_age,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
BMW 5 Series 520i Mild Hybrid M-Sport,276800,24710,20-12-22,1.00,2021,2.00,78,1210,Auto,141348,57239,107201,75031,1998,138,1685,Luxury Sedan,AVAIL,12-04-23,13-04-23,BMW
Honda N-Van Turbo Style Fun Honda Sensing,73800,8110,20-05-22,1.00,2021,2.00,20966,546,Auto,36226,16364,39827,819,658,71,920,Van,AVAIL,17-04-23,17-04-23,HONDA
BMW X3 xDrive28i Sunroof (COE till 11/2031),125888,14590,25-07-12,11.00,2012,11.00,161547,1331,Auto,57257,46055,66387,46055,1997,180,1720,SUV,AVAIL,03-04-23,03-04-23,BMW
Honda Fit 1.3A G F-Package,79800,11760,31-10-19,4.00,2019,4.00,38000,578,Auto,26495,15667,34001,5667,1317,73,1030,Hatchback,AVAIL,16-04-23,16-04-23,HONDA
Mercedes-Benz GLB-Class GLB200 Progressive,126812,19243,18-11-21,2.00,2021,2.00,74986,586,Auto,51880,35514,56032,41720,1332,120,1555,SUV,SOLD,25-03-23,04-04-23,MERCEDES-BENZ
BMW 3 Series 320i M-Sport,205259,22994,14-07-21,2.00,2021,2.00,64322,1210,Auto,81768,49607,61112,61450,1998,135,1495,Luxury Sedan,SOLD,06-04-23,11-04-23,BMW
Honda Stream 1.8A (COE till 12/2027),58800,12490,01-04-08,15.00,2007,16.00,138387,1467,Auto,24419,20815,51850,22897,1799,103,1370,MPV,AVAIL,15-04-23,17-04-23,HONDA
Rolls-Royce Phantom (COE till 04/2030),688000,95920,23-04-10,13.00,2007,16.00,48500,10725,Auto,23562,258255,33568,258255,6749,338,2745,Luxury Sedan,AVAIL,13-04-23,13-04-23,ROLLS-ROYCE
Honda Civic 1.6A VTi,74800,15450,20-06-17,6.00,2017,6.00,56580,742,Auto,33806,20403,46489,20565,1597,92,1249,Mid-Sized Sedan,SOLD,31-03-23,01-04-23,HONDA
Honda Civic 1.8A VTi-S (COE till 02/2031),88888,11290,26-04-11,12.00,2009,14.00,114000,1174,Auto,35882,25827,45586,25827,1799,103,1219,Mid-Sized Sedan,AVAIL,01-04-23,02-04-23,HONDA
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,56851,16844,27-08-15,8.00,2015,8.00,89743,1210,Auto,30234,22233,62140,23127,1997,106,1626,SUV,AVAIL,26-03-23,14-04-23,NISSAN
Mercedes-Benz A-Class A180,68598,13669,25-06-15,8.00,2015,8.00,89928,740,Auto,29279,22896,68589,14055,1595,90,1395,Mid-Sized Sedan,SOLD,29-03-23,15-04-23,MERCEDES-BENZ
BMW 5 Series 520i (COE till 10/2028),68800,12510,16-10-08,15.00,2008,15.00,147744,1812,Auto,17758,48462,32279,48462,1995,115,1490,Luxury Sedan,AVAIL,13-04-23,13-04-23,BMW
Toyota Townace 1.5A GL,87800,8820,31-03-23,0.00,2022,1.00,2589,607,Auto,53198,18310,53432,916,1496,86,1260,Van,AVAIL,11-04-23,12-04-23,TOYOTA
Lexus LS460 (COE till 01/2029),140441,23161,17-03-09,14.00,2008,15.00,123317,7353,Auto,20445,83621,31335,83621,4608,280,1925,Luxury Sedan,SOLD,11-04-23,14-04-23,LEXUS
Porsche Panamera 4S 2.9A PDK,507977,48938,25-02-22,1.00,2021,2.00,18000,2262,Auto,203834,113775,80401,176795,2894,243,1960,Mid-Sized Sedan,AVAIL,04-04-23,04-04-23,PORSCHE
Suzuki Jimny Sierra 1.5A JC,119800,14470,19-03-21,2.00,2020,3.00,15000,662,Auto,43019,23764,44589,10270,1460,75,1090,SUV,AVAIL,09-04-23,09-04-23,SUZUKI
